src_id,dst_id,edge_kind
19,1,HAS_BLOCK
1,3,FLOW
1,6,FLOW
1,6,UNWIND
19,3,HAS_BLOCK
3,8,FLOW
3,18,FLOW
3,18,UNWIND
19,8,HAS_BLOCK
8,10,FLOW
8,18,FLOW
8,18,UNWIND
19,10,HAS_BLOCK
10,12,FLOW
10,18,FLOW
10,18,UNWIND
19,12,HAS_BLOCK
12,14,FLOW
12,17,FLOW
12,17,UNWIND
19,14,HAS_BLOCK
14,15,FLOW
14,18,FLOW
14,18,UNWIND
19,15,HAS_BLOCK
15,16,FLOW
15,6,FLOW
15,6,UNWIND
19,16,HAS_BLOCK
16,19,RETURN
19,17,HAS_BLOCK
17,18,FLOW
19,18,HAS_BLOCK
18,6,FLOW
19,4,HAS_BLOCK
19,5,HAS_BLOCK
5,4,FLOW
19,6,HAS_BLOCK
6,4,FLOW
6,5,FLOW
